Date : 2023-11-16 21:52:50
Directory : /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio
Total : 85 files,  5263 codes, 436 comments, 469 blanks, all 6168 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                    |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                                  |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                            |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                                                                  |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                                                              |         26 |      2,355 |         89 |        135 |      2,579 |
| lib (Files)                                                                                                                                                      |          2 |         16 |          1 |          5 |         22 |
| lib/pages                                                                                                                                                        |          1 |        144 |          0 |         11 |        155 |
| lib/sections                                                                                                                                                     |         15 |      1,429 |         86 |         72 |      1,587 |
| lib/sections/aboutSection                                                                                                                                        |          4 |        250 |          1 |         14 |        265 |
| lib/sections/aboutSection (Files)                                                                                                                                |          3 |        179 |          0 |         11 |        190 |
| lib/sections/aboutSection/components                                                                                                                             |          1 |         71 |          1 |          3 |         75 |
| lib/sections/contactSection                                                                                                                                      |          2 |        424 |         56 |         13 |        493 |
| lib/sections/contactSection (Files)                                                                                                                              |          1 |        233 |          6 |          6 |        245 |
| lib/sections/contactSection/components                                                                                                                           |          1 |        191 |         50 |          7 |        248 |
| lib/sections/offeringsSection                                                                                                                                    |          2 |        214 |          0 |          6 |        220 |
| lib/sections/offeringsSection (Files)                                                                                                                            |          1 |        108 |          0 |          4 |        112 |
| lib/sections/offeringsSection/components                                                                                                                         |          1 |        106 |          0 |          2 |        108 |
| lib/sections/projectsSections                                                                                                                                    |          1 |        106 |          0 |          3 |        109 |
| lib/sections/testimonialSection                                                                                                                                  |          1 |        113 |          2 |          7 |        122 |
| lib/sections/topSection                                                                                                                                          |          5 |        322 |         27 |         29 |        378 |
| lib/sections/topSection (Files)                                                                                                                                  |          1 |         54 |         14 |          7 |         75 |
| lib/sections/topSection/components                                                                                                                               |          4 |        268 |         13 |         22 |        303 |
| lib/utils                                                                                                                                                        |          1 |          9 |          0 |          3 |         12 |
| lib/widgets                                                                                                                                                      |          7 |        757 |          2 |         44 |        803 |
| linux                                                                                                                                                            |          6 |        117 |         27 |         44 |        188 |
| linux (Files)                                                                                                                                                    |          3 |         86 |         18 |         27 |        131 |
| linux/flutter                                                                                                                                                    |          3 |         31 |          9 |         17 |         57 |
| macos                                                                                                                                                            |         10 |      1,142 |         38 |         36 |      1,216 |
| macos/Flutter                                                                                                                                                    |          1 |         10 |          3 |          4 |         17 |
| macos/Runner                                                                                                                                                     |          5 |        463 |          0 |          9 |        472 |
| macos/Runner (Files)                                                                                                                                             |          3 |         52 |          0 |          7 |         59 |
| macos/Runner.xcodeproj                                                                                                                                           |          2 |        654 |         33 |         18 |        705 |
| macos/Runner.xcodeproj (Files)                                                                                                                                   |          1 |        646 |         33 |         17 |        696 |
| macos/Runner.xcodeproj/project.xcworkspace                                                                                                                       |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcodeproj/project.xcworkspace/xcshareddata                                                                                                          |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcworkspace                                                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| macos/Runner.xcworkspace/xcshareddata                                                                                                                            |          1 |          8 |          0 |          1 |          9 |
| macos/Runner/Assets.xcassets                                                                                                                                     |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                  |          1 |         68 |          0 |          1 |         69 |
| macos/Runner/Base.lproj                                                                                                                                          |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                                                                |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                                                             |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                              |          2 |         73 |         16 |          7 |         96 |
| windows                                                                                                                                                          |         11 |        462 |         94 |        149 |        705 |
| windows/flutter                                                                                                                                                  |          3 |         34 |          9 |         17 |         60 |
| windows/runner                                                                                                                                                   |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                         | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/README.md                                                                        | Markdown        |         10 |          0 |          7 |         17 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/analysis_options.yaml                                                            | YAML            |          3 |         22 |          4 |         29 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/build.gradle                                                         | Gradle          |         51 |          5 |         12 |         68 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/debug/AndroidManifest.xml                                        | XML             |          3 |          4 |          1 |          8 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/main/AndroidManifest.xml                                         | XML             |         27 |          6 |          1 |         34 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/main/res/drawable-v21/launch_background.xml                      | XML             |          4 |          7 |          2 |         13 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/main/res/drawable/launch_background.xml                          | XML             |          4 |          7 |          2 |         13 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/main/res/values-night/styles.xml                                 | XML             |          9 |          9 |          1 |         19 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/main/res/values/styles.xml                                       | XML             |          9 |          9 |          1 |         19 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/app/src/profile/AndroidManifest.xml                                      | XML             |          3 |          4 |          1 |          8 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/build.gradle                                                             | Gradle          |         27 |          0 |          5 |         32 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/gradle.properties                                                        | Properties      |          3 |          0 |          1 |          4 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/gradle/wrapper/gradle-wrapper.properties                                 | Properties      |          5 |          0 |          1 |          6 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/android/settings.gradle                                                          | Gradle          |         16 |          0 |          5 |         21 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/assets/Logo.json                                                                 | JSON            |          1 |          0 |          0 |          1 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Flutter/AppFrameworkInfo.plist                                               | XML             |         26 |          0 |          1 |         27 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner.xcodeproj/project.pbxproj                                             | Project.pbxproj |        568 |         31 |         16 |        615 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist   | XML             |          8 |          0 |          1 |          9 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                     | XML             |          8 |          0 |          1 |          9 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/AppDelegate.swift                                                     | Swift           |         12 |          0 |          2 |         14 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                      | JSON            |        122 |          0 |          1 |        123 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                    | JSON            |         23 |          0 |          1 |         24 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                        | Markdown        |          3 |          0 |          2 |          5 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Base.lproj/LaunchScreen.storyboard                                    | XML             |         36 |          1 |          1 |         38 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Base.lproj/Main.storyboard                                            | XML             |         25 |          1 |          1 |         27 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Info.plist                                                            | XML             |         49 |          0 |          1 |         50 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/Runner/Runner-Bridging-Header.h                                              | C++             |          1 |          0 |          1 |          2 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/ios/RunnerTests/RunnerTests.swift                                                | Swift           |          7 |          2 |          4 |         13 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/constants.dart                                                               | Dart            |          1 |          0 |          1 |          2 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/main.dart                                                                    | Dart            |         15 |          1 |          4 |         20 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/pages/main_page.dart                                                         | Dart            |        144 |          0 |         11 |        155 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/about_buttons.dart                                     | Dart            |         43 |          0 |          3 |         46 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/about_section.dart                                     | Dart            |         32 |          0 |          3 |         35 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/components/about_me.dart                               | Dart            |         71 |          1 |          3 |         75 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/years_of.dart                                          | Dart            |        104 |          0 |          5 |        109 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/contactSection/components/social_card.dart                          | Dart            |        191 |         50 |          7 |        248 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/contactSection/contact.dart                                         | Dart            |        233 |          6 |          6 |        245 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/offeringsSection/components/project_estimate.dart                   | Dart            |        106 |          0 |          2 |        108 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/offeringsSection/offerings.dart                                     | Dart            |        108 |          0 |          4 |        112 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/projectsSections/projects.dart                                      | Dart            |        106 |          0 |          3 |        109 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/testimonialSection/tesimonials.dart                                 | Dart            |        113 |          2 |          7 |        122 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/backgrounds.dart                              | Dart            |         94 |         13 |          6 |        113 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/introduction.dart                             | Dart            |         49 |          0 |          4 |         53 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/logo.dart                                     | Dart            |         18 |          0 |          3 |         21 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/menu.dart                                     | Dart            |        107 |          0 |          9 |        116 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/top_section.dart                                         | Dart            |         54 |         14 |          7 |         75 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/utils/check_phone.dart                                                       | Dart            |          9 |          0 |          3 |         12 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_container.dart                                                | Dart            |         54 |          0 |          5 |         59 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_offering_card.dart                                            | Dart            |        179 |          0 |         11 |        190 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_outlined_button.dart                                          | Dart            |         58 |          0 |          4 |         62 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_project_card.dart                                             | Dart            |        181 |          0 |         10 |        191 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_testimonial_card.dart                                         | Dart            |        176 |          0 |          8 |        184 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_text.dart                                                     | Dart            |         51 |          2 |          2 |         55 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_text_button.dart                                              | Dart            |         58 |          0 |          4 |         62 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/flutter/generated_plugin_registrant.cc                                     | C++             |          7 |          4 |          5 |         16 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/flutter/generated_plugin_registrant.h                                      | C++             |          5 |          5 |          6 |         16 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/flutter/generated_plugins.cmake                                            | CMake           |         19 |          0 |          6 |         25 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/main.cc                                                                    | C++             |          5 |          0 |          2 |          7 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/my_application.cc                                                          | C++             |         74 |         11 |         20 |        105 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/my_application.h                                                           | C++             |          7 |          7 |          5 |         19 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Flutter/GeneratedPluginRegistrant.swift                                    | Swift           |         10 |          3 |          4 |         17 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner.xcodeproj/project.pbxproj                                           | Project.pbxproj |        646 |         33 |         17 |        696 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | XML             |          8 |          0 |          1 |          9 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist                   | XML             |          8 |          0 |          1 |          9 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/AppDelegate.swift                                                   | Swift           |          8 |          0 |          2 |         10 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                    | JSON            |         68 |          0 |          1 |         69 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/Base.lproj/MainMenu.xib                                             | XML             |        343 |          0 |          1 |        344 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/Info.plist                                                          | XML             |         32 |          0 |          1 |         33 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/MainFlutterWindow.swift                                             | Swift           |         12 |          0 |          4 |         16 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/RunnerTests/RunnerTests.swift                                              | Swift           |          7 |          2 |          4 |         13 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/pubspec.yaml                                                                     | YAML            |         37 |         54 |         14 |        105 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/test/widget_test.dart                                                            | Dart            |         14 |         10 |          7 |         31 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/web/index.html                                                                   | HTML            |         38 |         16 |          6 |         60 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/web/manifest.json                                                                | JSON            |         35 |          0 |          1 |         36 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/flutter/generated_plugin_registrant.cc                                   | C++             |          9 |          4 |          5 |         18 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/flutter/generated_plugin_registrant.h                                    | C++             |          5 |          5 |          6 |         16 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/flutter/generated_plugins.cmake                                          | CMake           |         20 |          0 |          6 |         26 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/flutter_window.cpp                                                | C++             |         49 |          7 |         16 |         72 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/flutter_window.h                                                  | C++             |         20 |          5 |          9 |         34 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/main.cpp                                                          | C++             |         30 |          4 |         10 |         44 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/resource.h                                                        | C++             |          9 |          6 |          2 |         17 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/utils.cpp                                                         | C++             |         54 |          2 |         10 |         66 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/utils.h                                                           | C++             |          8 |          6 |          6 |         20 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/win32_window.cpp                                                  | C++             |        210 |         24 |         55 |        289 |
| /Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/runner/win32_window.h                                                    | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                                                                            |                 |      5,263 |        436 |        469 |      6,168 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
